  EXISTS: go-basic.obo
go-basic.obo: fmt(1.2) rel(2021-05-01) 47,284 GO Terms; optional_attrs(relationship)
  479 GO IDs READ: ./ff12genetogo.txt
  107 GO IDs READ: ./fm12genetogo.txt
 GoSubDag: 545 sources in 2019 GOs rcnt(True). 1 alt GO IDs
 GoSubDag: namedtuple fields: NS level depth reldepth GO alt GO_name dcnt D1 childcnt REL REL_short rel id
 GoSubDag: relationships: {'negatively_regulates', 'part_of', 'regulates', 'positively_regulates'}
  EXISTS: goslim_generic.obo
goslim_generic.obo: fmt(1.2) rel(None) 247 GO Terms
# ----------------------------------------------------------------
# - Description of GO ID fields
# ----------------------------------------------------------------
# Versions:
#    go-basic.obo: fmt(1.2) rel(2021-05-01) 47,284 GO Terms; optional_attrs(relationship)
#    goslim_generic.obo: fmt(1.2) rel(None) 247 GO Terms

# Marker keys:
#     X -> GO is present in ff12genetogo
#     X -> GO is present in fm12genetogo

# GO Namspaces:
#     BP -> Biological Process
#     MF -> Molecular Function
#     CC -> Cellular Component

# Depth information:
#     int -> number of GO descendants
#     Dnn -> depth (maximum distance from root to node)

SECTION: Misc.
X. GO:0060271 BP    29 D07  cilium assembly
X. GO:1990841 MF     0 D03  promoter-specific chromatin binding
.X GO:0008022 MF     0 D03  protein C-terminus binding
X. GO:0097602 MF     0 D03  cullin family protein binding
X. GO:0051879 MF     0 D04  Hsp90 protein binding
X. GO:0030215 MF     0 D04  semaphorin receptor binding
XX GO:0046982 MF     0 D04  protein heterodimerization activity
X. GO:0008201 MF     0 D04  heparin binding
.X GO:0042803 MF     0 D04  protein homodimerization activity
X. GO:0071987 MF     0 D04  WD40-repeat domain binding
X. GO:0035374 MF     0 D04  chondroitin sulfate binding
X. GO:0030165 MF     0 D04  PDZ domain binding
X. GO:0005130 MF     0 D05  granulocyte colony-stimulating factor receptor binding
X. GO:0005146 MF     0 D05  leukemia inhibitory factor receptor binding
X. GO:0031704 MF     0 D06  apelin receptor binding
X. GO:0031741 MF     0 D07  type B gastrin/cholecystokinin receptor binding
.X GO:0036042 MF     0 D10  long-chain fatty acyl-CoA binding
X. GO:0022857 MF   993 D02  transmembrane transporter activity
X. GO:0008509 MF   285 D04  anion transmembrane transporter activity
X. GO:0005216 MF   133 D05  ion channel activity
X. GO:0005249 MF    15 D09  voltage-gated potassium channel activity
X. GO:0005254 MF    12 D07  chloride channel activity
X. GO:0015116 MF     9 D06  sulfate transmembrane transporter activity
X. GO:0008271 MF     6 D07  secondary active sulfate transmembrane transporter activity
X. GO:0005248 MF     6 D09  voltage-gated sodium channel activity
X. GO:0008320 MF     3 D04  protein transmembrane transporter activity
X. GO:0005222 MF     2 D10  intracellular cAMP-activated cation channel activity
X. GO:0004888 MF   325 D03  transmembrane signaling receptor activity
X. GO:0004930 MF   158 D04  G protein-coupled receptor activity
X. GO:0004950 MF     9 D07  chemokine receptor activity
X. GO:0004984 MF     1 D04  olfactory receptor activity
X. GO:0004883 MF     1 D04  glucocorticoid receptor activity
X. GO:0042813 MF     0 D04  Wnt-activated receptor activity
X. GO:0015054 MF     0 D06  gastrin receptor activity
X. GO:0004951 MF     0 D06  cholecystokinin receptor activity
X. GO:0004672 MF   108 D05  protein kinase activity
X. GO:0004713 MF    23 D06  protein tyrosine kinase activity
X. GO:0004714 MF    19 D07  transmembrane receptor protein tyrosine kinase activity
X. GO:0004707 MF     1 D07  MAP kinase activity
X. GO:0038062 MF     0 D08  protein tyrosine kinase collagen receptor activity
X. GO:0003953 MF     2 D05  NAD+ nucleosidase activity
X. GO:0004563 MF     2 D06  beta-N-acetylhexosaminidase activity
X. GO:0004573 MF     0 D06  mannosyl-oligosaccharide glucosidase activity
X. GO:0061809 MF     0 D06  NAD+ nucleotidase, cyclic ADP-ribose generating
X. GO:0004407 MF    10 D05  histone deacetylase activity
XX GO:0003755 MF     0 D04  peptidyl-prolyl cis-trans isomerase activity
.X GO:0008094 MF    27 D03  ATPase, acting on DNA
.X GO:0003918 MF     1 D04  DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
X. GO:0016791 MF   180 D05  phosphatase activity
X. GO:0004721 MF    33 D06  phosphoprotein phosphatase activity
X. GO:0004725 MF     6 D07  protein tyrosine phosphatase activity
.X GO:0046872 MF    30 D04  metal ion binding
X. GO:0005509 MF     4 D05  calcium ion binding
X. GO:0008270 MF     1 D06  zinc ion binding
.X GO:0000287 MF     0 D05  magnesium ion binding
XX GO:0005524 MF     0 D08  ATP binding
.X GO:0003723 MF   172 D04  RNA binding
.X GO:0008266 MF     0 D07  poly(U) RNA binding
XX GO:0003677 MF   130 D04  DNA binding
X. GO:0043565 MF    62 D05  sequence-specific DNA binding
XX GO:1990837 MF    51 D06  sequence-specific double-stranded DNA binding
X. GO:0000976 MF    34 D07  transcription cis-regulatory region binding
X. GO:0000977 MF    14 D08  RNA polymerase II transcription regulatory region sequence-specific DNA binding
XX GO:0000978 MF    11 D09  RNA polymerase II cis-regulatory region sequence-specific DNA binding
X. GO:0003684 MF     8 D05  damaged DNA binding
XX GO:0008301 MF     4 D05  DNA binding, bending
X. GO:0001046 MF     3 D08  core promoter sequence-specific DNA binding
X. GO:0003899 MF     9 D07  DNA-directed 5'-3' RNA polymerase activity
X. GO:0003887 MF     0 D06  DNA-directed DNA polymerase activity
.X GO:0004540 MF    48 D05  ribonuclease activity
X. GO:0008408 MF     8 D06  3'-5' exonuclease activity
.X GO:0000175 MF     3 D08  3'-5'-exoribonuclease activity
X. GO:0005496 MF    23 D03  steroid binding
X. GO:1990239 MF     6 D04  steroid hormone binding
XX GO:0019899 MF    70 D03  enzyme binding
X. GO:0019901 MF    15 D05  protein kinase binding
X. GO:0002020 MF     2 D04  protease binding
XX GO:0042826 MF     0 D04  histone deacetylase binding
X. GO:0008157 MF     0 D06  protein phosphatase 1 binding
.X GO:0005080 MF     0 D06  protein kinase C binding
XX GO:0003779 MF     3 D04  actin binding
X. GO:0008017 MF     3 D05  microtubule binding
.X GO:0051015 MF     1 D05  actin filament binding
X. GO:0008047 MF    52 D01  enzyme activator activity
X. GO:0005096 MF     1 D05  GTPase activator activity
X. GO:0005198 MF    42 D01  structural molecule activity
X. GO:0005200 MF     3 D02  structural constituent of cytoskeleton
X. GO:0008134 MF    38 D03  transcription factor binding
X. GO:0001226 MF     0 D05  transcription corepressor binding
X. GO:0051059 MF     0 D06  NF-kappaB binding
X. GO:0005179 MF    19 D05  hormone activity
X. GO:0005125 MF     1 D05  cytokine activity
X. GO:0008083 MF     0 D05  growth factor activity
X. GO:0030674 MF    33 D02  protein-macromolecule adaptor activity
X. GO:0035591 MF     5 D03  signaling adaptor activity
X. GO:0008093 MF     3 D03  cytoskeletal anchor activity
X. GO:0004602 MF     0 D05  glutathione peroxidase activity
X. GO:0003714 MF     2 D03  transcription corepressor activity
X. GO:0005044 MF     0 D02  scavenger receptor activity
XX GO:0003700 MF    10 D02  DNA-binding transcription factor activity
XX GO:0000981 MF     3 D03  DNA-binding transcription factor activity, RNA polymerase II-specific
XX GO:0001228 MF     0 D04  DNA-binding transcription activator activity, RNA polymerase II-specific
X. GO:0001227 MF     0 D04  DNA-binding transcription repressor activity, RNA polymerase II-specific
X. GO:0004879 MF     0 D04  nuclear receptor activity
X. GO:0019888 MF     7 D01  protein phosphatase regulator activity
.X GO:0043130 MF     1 D04  ubiquitin binding
X. GO:0044183 MF     0 D01  protein folding chaperone
X. GO:0051082 MF     0 D03  unfolded protein binding
# ----------------------------------------------------------------
# - Description of GO ID fields
# ----------------------------------------------------------------
# Versions:
#    go-basic.obo: fmt(1.2) rel(2021-05-01) 47,284 GO Terms; optional_attrs(relationship)
#    goslim_generic.obo: fmt(1.2) rel(None) 247 GO Terms

# Marker keys:
#     X -> GO is present in ff12genetogo
#     X -> GO is present in fm12genetogo

# GO Namspaces:
#     BP -> Biological Process
#     MF -> Molecular Function
#     CC -> Cellular Component

# Depth information:
#     int -> number of GO descendants
#     Dnn -> depth (maximum distance from root to node)

545 GO IDs in 1 sections
